Application,Technique,Pipeline,Time Steps,Temporal Ratio,Cameras,Spatial Ratio,Mapping,Execution Time (hours,Avg. Power (kW),Energy (kWh),Storage (GB)
asteroid,raycasting,insitu,5000,0.4,16,0.12,time-shared,36.34,21.23,771.68,31250
asteroid,raycasting,insitu,5000,0.4,16,0.12,space-shared,41.67,28.06,1169.24,31250
asteroid,raycasting,insitu,5000,0.4,16,0.25,time-shared,64.16,18.73,1201.84,62500
asteroid,raycasting,insitu,5000,0.4,16,0.25,space-shared,69.44,23.03,1599.14,62500
asteroid,raycasting,insitu,5000,0.4,16,0.5,time-shared,119.78,17.01,2037.84,125000
asteroid,raycasting,insitu,5000,0.4,16,0.5,space-shared,125,19.48,2434.61,125000
asteroid,raycasting,insitu,5000,0.4,16,1,time-shared,231.03,16.06,3709.82,250000
asteroid,raycasting,insitu,5000,0.4,16,1,space-shared,236.11,17.39,4105.54,250000
asteroid,raycasting,insitu,5000,0.6,16,0.12,time-shared,51.04,19.68,1004.75,46875
asteroid,raycasting,insitu,5000,0.6,16,0.12,space-shared,55.56,25.13,1396.23,46875
asteroid,raycasting,insitu,5000,0.6,16,0.25,time-shared,92.76,17.79,1649.99,93750
asteroid,raycasting,insitu,5000,0.6,16,0.25,space-shared,97.22,20.99,2041.07,93750
asteroid,raycasting,insitu,5000,0.6,16,0.5,time-shared,176.2,16.48,2903.98,187500
asteroid,raycasting,insitu,5000,0.6,16,0.5,space-shared,180.56,18.25,3294.27,187500
asteroid,raycasting,insitu,5000,0.6,16,1,time-shared,343.08,15.77,5411.96,375000
asteroid,raycasting,insitu,5000,0.6,16,1,space-shared,347.22,16.71,5800.68,375000
asteroid,raycasting,insitu,5000,0.8,16,0.12,time-shared,65.74,18.83,1237.81,62500
asteroid,raycasting,insitu,5000,0.8,16,0.12,space-shared,69.44,23.37,1623.21,62500
asteroid,raycasting,insitu,5000,0.8,16,0.25,time-shared,121.37,17.29,2098.13,125000
asteroid,raycasting,insitu,5000,0.8,16,0.25,space-shared,125,19.86,2483,125000
asteroid,raycasting,insitu,5000,0.8,16,0.5,time-shared,232.62,16.21,3770.12,250000
asteroid,raycasting,insitu,5000,0.8,16,0.5,space-shared,236.11,17.59,4153.94,250000
asteroid,raycasting,insitu,5000,0.8,16,1,time-shared,455.12,15.63,7114.09,500000
asteroid,raycasting,insitu,5000,0.8,16,1,space-shared,458.33,16.35,7495.81,500000
asteroid,raycasting,insitu,5000,1,16,0.12,time-shared,80.44,18.28,1470.87,78125
asteroid,raycasting,insitu,5000,1,16,0.12,space-shared,83.33,22.2,1850.19,78125
asteroid,raycasting,insitu,5000,1,16,0.25,time-shared,149.98,16.98,2546.27,156250
asteroid,raycasting,insitu,5000,1,16,0.25,space-shared,152.78,19.15,2924.93,156250
asteroid,raycasting,insitu,5000,1,16,0.5,time-shared,289.04,16.04,4636.26,312500
asteroid,raycasting,insitu,5000,1,16,0.5,space-shared,291.67,17.19,5013.6,312500
asteroid,raycasting,insitu,5000,1,16,1,time-shared,567.17,15.54,8816.22,625000
asteroid,raycasting,insitu,5000,1,16,1,space-shared,569.44,16.14,9190.94,625000
asteroid,raycasting,insitu,1000,0.2,32,0.12,time-shared,7.27,21.23,154.34,6250
asteroid,raycasting,insitu,1000,0.2,32,0.12,space-shared,8.33,28.06,233.85,6250
asteroid,raycasting,insitu,1000,0.2,32,0.25,time-shared,12.83,18.73,240.37,12500
asteroid,raycasting,insitu,1000,0.2,32,0.25,space-shared,13.89,23.03,319.83,12500
asteroid,raycasting,insitu,1000,0.2,32,0.5,time-shared,23.96,17.01,407.57,25000
asteroid,raycasting,insitu,1000,0.2,32,0.5,space-shared,25,19.48,486.92,25000
asteroid,raycasting,insitu,1000,0.2,32,1,time-shared,46.21,16.06,741.96,50000
asteroid,raycasting,insitu,1000,0.2,32,1,space-shared,47.22,17.39,821.11,50000
asteroid,raycasting,insitu,1000,0.4,32,0.12,time-shared,13.15,18.83,247.56,12500
asteroid,raycasting,insitu,1000,0.4,32,0.12,space-shared,13.89,23.37,324.64,12500
asteroid,raycasting,insitu,1000,0.4,32,0.25,time-shared,24.27,17.29,419.63,25000
asteroid,raycasting,insitu,1000,0.4,32,0.25,space-shared,25,19.86,496.6,25000
asteroid,raycasting,insitu,1000,0.4,32,0.5,time-shared,46.52,16.21,754.02,50000
asteroid,raycasting,insitu,1000,0.4,32,0.5,space-shared,47.22,17.59,830.79,50000
asteroid,raycasting,insitu,1000,0.4,32,1,time-shared,91.02,15.63,1422.82,100000
asteroid,raycasting,insitu,1000,0.4,32,1,space-shared,91.67,16.35,1499.16,100000
asteroid,raycasting,insitu,1000,0.6,32,0.12,time-shared,19.03,17.91,340.79,18750
asteroid,raycasting,insitu,1000,0.6,32,0.12,space-shared,19.44,21.37,415.43,18750
asteroid,raycasting,insitu,1000,0.6,32,0.25,time-shared,35.72,16.77,598.88,37500
asteroid,raycasting,insitu,1000,0.6,32,0.25,space-shared,36.11,18.65,673.37,37500
asteroid,raycasting,insitu,1000,0.6,32,0.5,time-shared,69.09,15.93,1100.48,75000
asteroid,raycasting,insitu,1000,0.6,32,0.5,space-shared,69.44,16.92,1174.65,75000
asteroid,raycasting,insitu,1000,0.6,32,1,time-shared,135.84,15.49,2103.67,150000
asteroid,raycasting,insitu,1000,0.6,32,1,space-shared,136.11,16,2177.22,150000
asteroid,raycasting,insitu,1000,0.8,32,0.12,time-shared,24.91,17.42,434.01,25000
asteroid,raycasting,insitu,1000,0.8,32,0.12,space-shared,25,20.25,506.23,25000
asteroid,raycasting,insitu,1000,0.8,32,0.25,time-shared,47.16,16.5,778.14,50000
asteroid,raycasting,insitu,1000,0.8,32,0.25,space-shared,47.22,18,850.14,50000
asteroid,raycasting,insitu,1000,0.8,32,0.5,time-shared,91.66,15.79,1446.94,100000
asteroid,raycasting,insitu,1000,0.8,32,0.5,space-shared,91.67,16.57,1518.52,100000
asteroid,raycasting,insitu,1000,0.8,32,1,time-shared,180.66,15.41,2784.52,200000
asteroid,raycasting,insitu,1000,0.8,32,1,space-shared,180.56,15.81,2855.27,200000
asteroid,raycasting,insitu,1000,1,32,0.12,time-shared,30.79,17.12,527.24,31250
asteroid,raycasting,insitu,1000,1,32,0.12,space-shared,30.56,19.54,597.02,31250
asteroid,raycasting,insitu,1000,1,32,0.25,time-shared,58.6,16.34,957.4,62500
asteroid,raycasting,insitu,1000,1,32,0.25,space-shared,58.33,17.6,1026.92,62500
asteroid,raycasting,insitu,1000,1,32,0.5,time-shared,114.23,15.7,1793.39,125000
asteroid,raycasting,insitu,1000,1,32,0.5,space-shared,113.89,16.35,1862.39,125000
asteroid,raycasting,insitu,1000,1,32,1,time-shared,225.48,15.37,3465.38,250000
asteroid,raycasting,insitu,1000,1,32,1,space-shared,225,15.7,3533.32,250000
asteroid,raycasting,insitu,5000,0.2,32,0.12,time-shared,36.34,21.23,771.68,31250
asteroid,raycasting,insitu,5000,0.2,32,0.12,space-shared,41.67,28.06,1169.24,31250
asteroid,raycasting,insitu,5000,0.2,32,0.25,time-shared,64.16,18.73,1201.84,62500
asteroid,raycasting,insitu,5000,0.2,32,0.25,space-shared,69.44,23.03,1599.14,62500
asteroid,raycasting,insitu,5000,0.2,32,0.5,time-shared,119.78,17.01,2037.84,125000
asteroid,raycasting,insitu,5000,0.2,32,0.5,space-shared,125,19.48,2434.61,125000
asteroid,raycasting,insitu,5000,0.2,32,1,time-shared,231.03,16.06,3709.82,250000
asteroid,raycasting,insitu,5000,0.2,32,1,space-shared,236.11,17.39,4105.54,250000
asteroid,raycasting,insitu,5000,0.4,32,0.12,time-shared,65.74,18.83,1237.81,62500
asteroid,raycasting,insitu,5000,0.4,32,0.12,space-shared,69.44,23.37,1623.21,62500
asteroid,raycasting,insitu,5000,0.4,32,0.25,time-shared,121.37,17.29,2098.13,125000
asteroid,raycasting,insitu,5000,0.4,32,0.25,space-shared,125,19.86,2483,125000
asteroid,raycasting,insitu,5000,0.4,32,0.5,time-shared,232.62,16.21,3770.12,250000
asteroid,raycasting,insitu,5000,0.4,32,0.5,space-shared,236.11,17.59,4153.94,250000
asteroid,raycasting,insitu,5000,0.4,32,1,time-shared,455.12,15.63,7114.09,500000
asteroid,raycasting,insitu,5000,0.4,32,1,space-shared,458.33,16.35,7495.81,500000
asteroid,raycasting,insitu,5000,0.6,32,0.12,time-shared,95.14,17.91,1703.94,93750
asteroid,raycasting,insitu,5000,0.6,32,0.12,space-shared,97.22,21.37,2077.17,93750
asteroid,raycasting,insitu,5000,0.6,32,0.25,time-shared,178.58,16.77,2994.42,187500
asteroid,raycasting,insitu,5000,0.6,32,0.25,space-shared,180.56,18.65,3366.86,187500
asteroid,raycasting,insitu,5000,0.6,32,0.5,time-shared,345.46,15.93,5502.4,375000
asteroid,raycasting,insitu,5000,0.6,32,0.5,space-shared,347.22,16.92,5873.27,375000
asteroid,raycasting,insitu,5000,0.6,32,1,time-shared,679.21,15.49,10518.36,750000
asteroid,raycasting,insitu,5000,0.6,32,1,space-shared,680.56,16,10886.08,750000
asteroid,raycasting,insitu,5000,0.8,32,0.12,time-shared,124.54,17.42,2170.07,125000
asteroid,raycasting,insitu,5000,0.8,32,0.12,space-shared,125,20.25,2531.14,125000
asteroid,raycasting,insitu,5000,0.8,32,0.25,time-shared,235.79,16.5,3890.7,250000
asteroid,raycasting,insitu,5000,0.8,32,0.25,space-shared,236.11,18,4250.72,250000
asteroid,raycasting,insitu,5000,0.8,32,0.5,time-shared,458.3,15.79,7234.68,500000
asteroid,raycasting,insitu,5000,0.8,32,0.5,space-shared,458.33,16.57,7592.6,500000
asteroid,raycasting,insitu,5000,0.8,32,1,time-shared,903.3,15.41,13922.62,1000000
asteroid,raycasting,insitu,5000,0.8,32,1,space-shared,902.78,15.81,14276.34,1000000
asteroid,raycasting,insitu,5000,1,32,0.12,time-shared,153.94,17.12,2636.19,156250
asteroid,raycasting,insitu,5000,1,32,0.12,space-shared,152.78,19.54,2985.1,156250
asteroid,raycasting,insitu,5000,1,32,0.25,time-shared,293.01,16.34,4786.99,312500
asteroid,raycasting,insitu,5000,1,32,0.25,space-shared,291.67,17.6,5134.59,312500
asteroid,raycasting,insitu,5000,1,32,0.5,time-shared,571.13,15.7,8966.96,625000
asteroid,raycasting,insitu,5000,1,32,0.5,space-shared,569.44,16.35,9311.93,625000
asteroid,raycasting,insitu,5000,1,32,1,time-shared,1127.39,15.37,17326.89,1250000
asteroid,raycasting,insitu,5000,1,32,1,space-shared,1125,15.7,17666.61,1250000
asteroid,raycasting,posthoc,1000,0.2,1,0.12,time-shared,1.57,40.71,64.02,195.32
asteroid,raycasting,posthoc,1000,0.2,1,0.12,space-shared,2.95,49.43,145.89,195.32
asteroid,raycasting,posthoc,1000,0.2,1,0.25,time-shared,1.75,38.2,66.71,390.63
asteroid,raycasting,posthoc,1000,0.2,1,0.25,space-shared,3.13,47.55,148.58,390.63
asteroid,raycasting,posthoc,1000,0.2,1,0.5,time-shared,2.09,34.35,71.94,781.27
asteroid,raycasting,posthoc,1000,0.2,1,0.5,space-shared,3.47,44.29,153.8,781.27
asteroid,raycasting,posthoc,1000,0.2,1,1,time-shared,2.79,29.54,82.39,1562.54
asteroid,raycasting,posthoc,1000,0.2,1,1,space-shared,4.17,39.42,164.25,1562.54
asteroid,raycasting,posthoc,1000,0.4,1,0.12,time-shared,1.76,38.11,66.94,390.63
asteroid,raycasting,posthoc,1000,0.4,1,0.12,space-shared,3.13,47.59,148.73,390.63
asteroid,raycasting,posthoc,1000,0.4,1,0.25,time-shared,2.1,34.37,72.31,781.27
asteroid,raycasting,posthoc,1000,0.4,1,0.25,space-shared,3.47,44.38,154.1,781.27
